FILE ID;:;'CW500;
VERSION;:;'1.01;'00;
SERIAL NUMBER;:;'0JKT9004;
MAC ADDRESS;:;'--_--_--_--_--_--;
ID NUMBER;:;'00-001;
CONDITION;:;'SELF;
WIRING;:;'3P4W;
VOLT RANGE;:;'600V;
VT RATIO;:;'1,00;
SENSOR TYPE;:;'96065;'96065;'96065;'96065;
CURRENT RANGE;:;'1000 A;'1000 A;'1000 A;'100,0 A;
CT RATIO;:;'1,00;'1,00;'1,00;'1,00;
DC RANGE;:;'1.000 V;'1.000 V;
INTERVAL;:;'10 min.;
DEMAND TARGET;:;'300.0kW ;
DEMAND INTERVAL;:;'15 min.;
NOMINAL VOLTAGE;:;'220V;
FREQUENCY;:;'60Hz;
THD;:;'THD-F;
START;:;'2023/02/23_16:08:41;
INP-DATA;:;'INPS0013.CW5;'2291;
INH-DATA;:;'INHS0013.CW5;'10320;
EVT-DATA;:;'EVTS0013.CW5;'105;
WAV-DATA;:;'WAVS0013.CW5;'115632;
VAL-DATA;:;'VALS0013.CW5;'2592;
TRANSIENT;:;'0;
INTRUPT;:;'0;
DIP;:;'0;
SWELL;:;'0;
INRUSH CURRENT;:;'0;
STOP;:;'2023/03/03_14:18:22;

;;Average value;2,298571E+002;1,872498E-001;4,673811E-001;3,676968E-002;5,901435E+000;5,841017E-003;3,862005E+000;7,538676E-004;2,081931E-001;1,156493E-004;1,445882E-001;1,456352E-006;7,488853E-002;2,725992E-006;1,684800E-001;1,568379E-006;9,280170E-002;3,360813E-007;9,209761E-002;0,000000E+000;3,140265E-002;0,000000E+000;1,801100E-002;0,000000E+000;2,579185E-002;0,000000E+000;1,485778E-003;0,000000E+000;1,621786E-002;0,000000E+000;5,662409E-003;0,000000E+000;2,655042E-005;0,000000E+000;1,820067E-004;0,000000E+000;7,132391E-006;0,000000E+000;4,854507E-007;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Max value;2,342393E+002;6,437905E-001;1,200099E+000;5,672491E-001;1,048289E+001;7,373174E-002;5,977422E+000;3,822812E-002;4,233190E-001;4,661447E-002;6,504315E-001;8,514058E-004;7,626893E-001;8,939761E-004;5,068844E-001;1,149398E-003;7,190973E-001;1,277109E-004;2,587848E-001;0,000000E+000;3,085920E-001;0,000000E+000;1,867133E-001;0,000000E+000;1,742828E-001;0,000000E+000;9,365464E-002;0,000000E+000;1,910555E-001;0,000000E+000;1,440579E-001;0,000000E+000;5,363857E-003;0,000000E+000;3,597190E-002;0,000000E+000;4,044178E-003;0,000000E+000;5,534138E-004;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Max value recorded time;2023/02/27 06:28:41;2023/03/01 07:48:41;2023/03/02 16:08:41;2023/02/26 17:58:41;2023/02/25 06:18:41;2023/02/26 15:58:41;2023/02/28 23:18:41;2023/02/27 12:18:41;2023/03/01 21:38:41;2023/02/26 16:28:41;2023/02/28 23:18:41;2023/02/28 15:18:41;2023/02/28 00:38:41;2023/02/27 23:38:41;2023/03/01 14:48:41;2023/02/25 00:38:41;2023/02/25 06:28:41;2023/02/24 11:18:41;2023/02/28 22:38:41;2023/02/23 16:18:41;2023/02/25 06:28:41;2023/02/23 16:18:41;2023/02/23 20:38:41;2023/02/23 16:18:41;2023/02/23 17:28:41;2023/02/23 16:18:41;2023/02/23 17:38:41;2023/02/23 16:18:41;2023/02/27 06:18:41;2023/02/23 16:18:41;2023/03/01 05:08:41;2023/02/23 16:18:41;2023/02/28 11:38:41;2023/02/23 16:18:41;2023/02/27 06:08:41;2023/02/23 16:18:41;2023/02/23 22:28:41;2023/02/23 16:18:41;2023/02/23 21:58:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;
;;Min value;2,252060E+002;5,491567E-003;5,981126E-002;0,000000E+000;2,788099E+000;0,000000E+000;2,604535E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Min value recorded time;2023/02/28 19:28:41;2023/02/26 03:08:41;2023/02/25 01:48:41;2023/02/25 14:28:41;2023/03/02 15:38:41;2023/02/23 20:38:41;2023/03/03 13:28:41;2023/02/23 18:28:41;2023/02/27 13:48:41;2023/02/23 16:18:41;2023/02/25 10:38:41;2023/02/23 16:18:41;2023/02/23 20:58:41;2023/02/23 16:18:41;2023/02/24 12:08:41;2023/02/23 16:18:41;2023/02/23 19:58:41;2023/02/23 16:18:41;2023/02/23 17:38:41;2023/02/23 16:18:41;2023/02/23 16:58:41;2023/02/23 16:18:41;2023/02/23 18:08:41;2023/02/23 16:18:41;2023/02/23 17:58:41;2023/02/23 16:18:41;2023/02/23 16:28:41;2023/02/23 16:18:41;2023/02/23 16:58:41;2023/02/23 16:18:41;2023/02/23 16:58:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;
No;DateTime;ELAPSED TIME;AVG[01]_V2[V];AVG[02]_V2[V];AVG[03]_V2[V];AVG[04]_V2[V];AVG[05]_V2[V];AVG[06]_V2[V];AVG[07]_V2[V];AVG[08]_V2[V];AVG[09]_V2[V];AVG[10]_V2[V];AVG[11]_V2[V];AVG[12]_V2[V];AVG[13]_V2[V];AVG[14]_V2[V];AVG[15]_V2[V];AVG[16]_V2[V];AVG[17]_V2[V];AVG[18]_V2[V];AVG[19]_V2[V];AVG[20]_V2[V];AVG[21]_V2[V];AVG[22]_V2[V];AVG[23]_V2[V];AVG[24]_V2[V];AVG[25]_V2[V];AVG[26]_V2[V];AVG[27]_V2[V];AVG[28]_V2[V];AVG[29]_V2[V];AVG[30]_V2[V];AVG[31]_V2[V];AVG[32]_V2[V];AVG[33]_V2[V];AVG[34]_V2[V];AVG[35]_V2[V];AVG[36]_V2[V];AVG[37]_V2[V];AVG[38]_V2[V];AVG[39]_V2[V];AVG[40]_V2[V];AVG[41]_V2[V];AVG[42]_V2[V];AVG[43]_V2[V];AVG[44]_V2[V];AVG[45]_V2[V];AVG[46]_V2[V];AVG[47]_V2[V];AVG[48]_V2[V];AVG[49]_V2[V];AVG[50]_V2[V];
1;2023/02/23 16:18:41;00000:10:00;2,289318E+002;9,850765E-002;8,570251E-001;7,620082E-003;4,834878E+000;1,277109E-003;3,722857E+000;1,277109E-004;1,653430E-001;0,000000E+000;1,843719E-001;0,000000E+000;1,179623E-001;0,000000E+000;3,014828E-001;0,000000E+000;2,963744E-001;0,000000E+000;1,035309E-001;0,000000E+000;1,447390E-003;0,000000E+000;8,122411E-002;0,000000E+000;8,088355E-002;0,000000E+000;2,554217E-004;0,000000E+000;1,409077E-002;0,000000E+000;2,707470E-002;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
2;2023/02/23 16:28:41;00000:20:00;2,288566E+002;1,010619E-001;8,961472E-001;7,577512E-003;4,748716E+000;8,514058E-004;3,677562E+000;1,277109E-004;1,657687E-001;0,000000E+000;1,362675E-001;0,000000E+000;7,658395E-002;0,000000E+000;2,152780E-001;0,000000E+000;2,066362E-001;0,000000E+000;1,143438E-001;0,000000E+000;3,320483E-003;0,000000E+000;4,095262E-002;0,000000E+000;1,446538E-001;0,000000E+000;0,000000E+000;0,000000E+000;5,410684E-002;0,000000E+000;5,525624E-002;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
3;2023/02/23 16:38:41;00000:30:00;2,288839E+002;1,797318E-001;8,616652E-001;1,732611E-002;4,661830E+000;2,979920E-003;3,726816E+000;2,554217E-004;1,542322E-001;0,000000E+000;1,477615E-001;0,000000E+000;1,681952E-001;0,000000E+000;2,661069E-001;0,000000E+000;3,032282E-001;0,000000E+000;1,061277E-001;0,000000E+000;1,196225E-002;0,000000E+000;1,013599E-001;0,000000E+000;9,535745E-002;0,000000E+000;2,000804E-003;0,000000E+000;3,052290E-002;0,000000E+000;2,192370E-002;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
4;2023/02/23 16:48:41;00000:40:00;2,286615E+002;2,204290E-001;8,994251E-001;2,132772E-002;4,654848E+000;3,150201E-003;3,654489E+000;1,277109E-004;1,578506E-001;0,000000E+000;9,280323E-002;0,000000E+000;7,300805E-002;0,000000E+000;1,360121E-001;0,000000E+000;1,354587E-001;0,000000E+000;1,541470E-001;0,000000E+000;2,341366E-003;0,000000E+000;1,221342E-001;0,000000E+000;2,996948E-002;0,000000E+000;1,702812E-003;0,000000E+000;4,082491E-002;0,000000E+000;1,430362E-002;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
